AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),Input,NodeList,EDP
0.0,160,16,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,10.0,0,0.0,0.0,1n-1m-10th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493219.0,1,10,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1435.58,539.07,1974.65,95.71,35.94,131.64,131.64,15.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,31594.4
0.0,160,16,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,14.0,0,0.0,0.0,1n-1m-10th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493222.0,1,10,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1468.95,549.65,2018.6,104.93,39.26,144.19,144.19,14.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,32297.6
0.0,170,17,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,28.0,0,0.0,0.0,1n-1m-10th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493224.0,1,10,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1682.42,628.7,2311.12,112.16,41.91,154.07,154.07,15.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,39289.04
0.0,170,17,265352.0,3204.0,3204.0,265352.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-10th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493225.0,1,10,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1679.18,632.15,2311.33,104.95,39.51,144.46,144.46,16.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,39292.61
1190.0,1470,147,1640616.0,141400.0,141400.0,1640616.0,1935.36,4608.0,1935.36,4608.0,5.0,0,3.0,3.0,1n-1m-10th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493226.0,1,10,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16244.26,6004.83,22249.08,111.26,41.13,152.39,152.39,146.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3270614.7600000002
1190.0,1470,147,1640616.0,143360.0,143360.0,1640616.0,1945.6,4608.0,1945.6,4608.0,9.0,0,6.0,6.0,1n-1m-10th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493227.0,1,10,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16193.58,6015.21,22208.8,111.68,41.48,153.16,153.16,145.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3264693.6
1190.0,1480,148,1640616.0,139416.0,139416.0,1640616.0,1935.36,4608.0,1935.36,4608.0,12.0,0,3.0,3.0,1n-1m-10th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493228.0,1,10,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16520.68,6097.96,22618.64,112.39,41.48,153.87,153.87,147.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3347558.7199999997
1189.0,1480,148,1640616.0,139204.0,139204.0,1640616.0,1945.6,4608.0,1945.6,4608.0,16.0,0,2.0,2.0,1n-1m-10th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493229.0,1,10,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16314.55,6039.17,22353.72,110.98,41.08,152.07,152.07,147.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3308350.56
1188.0,1500,150,1646180.0,139668.0,139668.0,1646180.0,1935.36,4597.76,1935.36,4597.76,18.0,0,8.0,8.0,1n-1m-10th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493230.0,1,10,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16471.25,6089.2,22560.46,111.29,41.14,152.44,152.44,148.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3384069.0
0.0,238,17,265352.0,1060.0,1060.0,265352.0,0.0,0.0,0.0,0.0,30.0,0,0.0,0.0,1n-1m-14th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493232.0,1,14,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1732.19,639.7,2371.88,108.26,39.98,148.24,148.24,16.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,40321.96
