AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Bootstrap,Processo p/ no,Thread p/ proc.,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
6093.0,6300,1050,1600948.0,157416.0,157416.0,1600948.0,9021.44,5120.0,9021.44,5120.0,193.0,0,2.0,2.0,1000bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369584.0,1000,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,104795.73,43933.19,148728.92,99.9,41.88,141.78,141.78,1049.0, sdumont6167,156165366.0
6701.0,6900,1150,1600948.0,151072.0,151072.0,1600948.0,9400.32,5140.48,9400.32,5140.48,44.0,0,1.0,1.0,1000bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369599.0,1000,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,98680.5,46907.36,145587.86,85.96,40.86,126.82,126.82,1148.0, sdumont6165,167426038.99999997
6084.0,6228,1038,1378408.0,151672.0,151672.0,1378408.0,9021.44,5130.24,9021.44,5130.24,219.0,0,0.0,0.0,1000bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369613.0,1000,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,90625.72,42258.26,132883.99,87.39,40.75,128.14,128.14,1037.0, sdumont6165,137933581.62
6095.0,6174,1029,1600908.0,150740.0,150740.0,1600908.0,9021.44,5130.24,9021.44,5130.24,511.0,0,1.0,1.0,1000bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369624.0,1000,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,90393.92,42061.62,132455.53,87.93,40.92,128.85,128.85,1028.0, sdumont6165,136296740.37
6080.0,6264,1044,1372848.0,151616.0,151616.0,1372848.0,9021.44,5120.0,9021.44,5120.0,1.0,0,1.0,1.0,1000bs-1n-6th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369644.0,1000,1,6,484520,DENV_1-brazil-BVBRC_genome_sequence,91338.7,42428.54,133767.24,87.57,40.68,128.25,128.25,1043.0, sdumont6165,139652998.56
688.0,1056,88,1777888.0,151616.0,151616.0,1777888.0,2058.24,4270.08,2058.24,4270.08,1.0,0,240.0,240.0,100bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369655.0,100,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,10046.6,3497.51,13544.11,115.48,40.2,155.68,155.68,87.0, sdumont6167,1191881.6800000002
1065.0,1092,91,1777888.0,146000.0,146000.0,1777888.0,2283.52,4300.8,2283.52,4300.8,1.0,0,6.0,6.0,100bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369656.0,100,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,10786.05,3716.24,14502.29,119.84,41.29,161.14,161.14,90.0, sdumont6167,1319708.39
712.0,1020,85,1777888.0,145360.0,145360.0,1777888.0,2058.24,4270.08,2058.24,4270.08,1.0,0,4.0,4.0,100bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369657.0,100,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,10027.69,3456.26,13483.94,119.38,41.15,160.52,160.52,84.0, sdumont6167,1146134.9
712.0,1032,86,1777888.0,151680.0,151680.0,1777888.0,2058.24,4270.08,2058.24,4270.08,1.0,0,3.0,3.0,100bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369659.0,100,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,10089.39,3465.27,13554.66,120.11,41.25,161.37,161.37,84.0, sdumont6167,1165700.76
713.0,1020,85,1777888.0,145664.0,145664.0,1777888.0,2058.24,4270.08,2058.24,4270.08,3.0,0,4.0,4.0,100bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369661.0,100,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,9885.54,3444.63,13330.18,117.69,41.01,158.69,158.69,84.0, sdumont6167,1133065.3
9685.0,10044,837,2000608.0,155688.0,155688.0,2000608.0,7424.0,5099.52,7424.0,5099.52,1.0,0,4.0,4.0,1000bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369663.0,1000,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,101385.19,34487.05,135872.23,121.27,41.25,162.53,162.53,836.0, sdumont6167,113725056.51
10011.0,10272,856,2006016.0,153284.0,153284.0,2006016.0,7628.8,5109.76,7628.8,5109.76,1.0,0,242.0,242.0,1000bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369666.0,1000,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,97558.0,34998.85,132556.85,114.1,40.93,155.04,155.04,855.0, sdumont6169,113468663.6
9991.0,10164,847,1783344.0,153496.0,153496.0,1783344.0,7649.28,5130.24,7649.28,5130.24,1.0,0,119.0,119.0,1000bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369672.0,1000,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,90823.4,34492.04,125315.45,107.36,40.77,148.13,148.13,846.0, sdumont6165,106142186.15
10038.0,10128,844,2006028.0,160040.0,160040.0,2006028.0,7649.28,5130.24,7649.28,5130.24,1.0,0,4.0,4.0,1000bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369676.0,1000,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,91052.65,34358.06,125410.71,108.01,40.76,148.77,148.77,843.0, sdumont6165,105846639.24
10695.0,11004,917,2006164.0,153120.0,153120.0,2006164.0,8151.04,5130.24,8151.04,5130.24,1.0,0,6.0,6.0,1000bs-1n-12th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369689.0,1000,1,12,484520,DENV_1-brazil-BVBRC_genome_sequence,103724.8,37210.45,140935.25,114.23,40.98,155.22,155.22,908.0, sdumont6169,129237624.25
1243.0,1926,107,2183252.0,148032.0,148032.0,2183252.0,2304.0,4280.32,2304.0,4280.32,231.0,0,243.0,243.0,100bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369703.0,100,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,9689.25,3495.01,13184.26,90.55,32.66,123.22,123.22,107.0, sdumont6166,1410715.82
