AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Bootstrap,Thread,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
228.0,258,129,1100136.0,142060.0,142060.0,1100136.0,1239.04,4648.96,1239.04,4648.96,1.0,0,0.0,0.0,1000bs-1n-2th-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327474.0,1000,2,187026,DENV_1-colombia-BVBRC_genome_sequence,8184.36,5115.89,13300.24,63.94,39.97,103.91,103.91,128.0, sdumont6167,1715730.96
231.0,250,125,1100140.0,142272.0,142272.0,1100140.0,1239.04,4659.2,1239.04,4659.2,1.0,0,0.0,0.0,1000bs-1n-2th-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327484.0,1000,2,187026,DENV_1-colombia-BVBRC_genome_sequence,8279.51,5156.82,13436.33,66.77,41.59,108.36,108.36,124.0, sdumont6167,1679541.25
231.0,252,126,1100140.0,144412.0,144412.0,1100140.0,1239.04,4659.2,1239.04,4659.2,1.0,0,0.0,0.0,1000bs-1n-2th-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327494.0,1000,2,187026,DENV_1-colombia-BVBRC_genome_sequence,6948.41,4992.31,11940.72,55.59,39.94,95.53,95.53,125.0, sdumont6165,1504530.72
231.0,248,124,1100052.0,139944.0,139944.0,1100052.0,1239.04,4659.2,1239.04,4659.2,1.0,0,0.0,0.0,1000bs-1n-2th-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327497.0,1000,2,187026,DENV_1-colombia-BVBRC_genome_sequence,7027.94,5013.21,12041.15,57.14,40.76,97.9,97.9,123.0, sdumont6165,1493102.5999999999
1394.0,1632,34,4209072.0,146748.0,146748.0,4209072.0,1116.16,4249.6,1116.16,4249.6,1.0,0,37.0,37.0,100bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327499.0,100,48,198574,DENV_2-colombia-BVBRC_genome_sequence,3413.75,3530.3,6944.05,106.68,110.32,217.0,217.0,32.0, sdumont6165,236097.7
1392.0,1632,34,4209072.0,148784.0,148784.0,4209072.0,1116.16,4249.6,1116.16,4249.6,1.0,0,26.0,26.0,100bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327501.0,100,48,198574,DENV_2-colombia-BVBRC_genome_sequence,3397.44,3535.23,6932.67,106.17,110.48,216.65,216.65,32.0, sdumont6165,235710.78
1397.0,1488,31,4209368.0,145356.0,145356.0,4209368.0,1116.16,4259.84,1116.16,4259.84,1.0,0,21.0,21.0,100bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327503.0,100,48,198574,DENV_2-colombia-BVBRC_genome_sequence,2258.2,2341.71,4599.91,75.27,78.06,153.33,153.33,30.0, sdumont6165,142597.21
1391.0,1824,38,4209072.0,146908.0,146908.0,4209072.0,1116.16,4249.6,1116.16,4249.6,1.0,0,44.0,44.0,100bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327519.0,100,48,198574,DENV_2-colombia-BVBRC_genome_sequence,3853.12,3644.24,7497.35,110.09,104.12,214.21,214.21,35.0, sdumont6167,284899.3
14178.0,14736,307,4209192.0,157020.0,157020.0,4209192.0,1546.24,4689.92,1546.24,4689.92,1.0,0,47.0,47.0,1000bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327524.0,1000,48,198574,DENV_2-colombia-BVBRC_genome_sequence,36982.63,35047.21,72029.84,122.46,116.05,238.51,238.51,302.0, sdumont6167,22113160.88
14302.0,15792,329,4209192.0,157148.0,157148.0,4209192.0,1546.24,4648.96,1546.24,4648.96,1.0,0,32.0,32.0,1000bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327529.0,1000,48,198574,DENV_2-colombia-BVBRC_genome_sequence,39445.63,37290.4,76736.03,120.63,114.04,234.67,234.67,327.0, sdumont6167,25246153.87
14309.0,15840,330,4209192.0,155008.0,155008.0,4209192.0,1546.24,4659.2,1546.24,4659.2,1.0,0,25.0,25.0,1000bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327538.0,1000,48,198574,DENV_2-colombia-BVBRC_genome_sequence,40741.98,38672.71,79414.69,124.21,117.9,242.12,242.12,328.0, sdumont6167,26206847.7
15604.0,16224,338,4209192.0,152908.0,152908.0,4209192.0,1597.44,4689.92,1597.44,4689.92,194.0,0,319.0,319.0,1000bs-1n-48th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327544.0,1000,48,198574,DENV_2-colombia-BVBRC_genome_sequence,39201.79,36205.94,75407.73,116.67,107.76,224.43,224.43,336.0, sdumont6232,25487812.74
0.0,504,21,265348.0,1040.0,1040.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327549.0,100,24,198574,DENV_2-colombia-BVBRC_genome_sequence,1009.95,353.42,1363.37,50.5,17.67,68.17,68.17,20.0, sdumont6166,28630.769999999997
0.0,504,21,265348.0,1036.0,1036.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327550.0,100,24,198574,DENV_2-colombia-BVBRC_genome_sequence,1141.92,380.92,1522.84,63.44,21.16,84.6,84.6,18.0, sdumont6166,31979.64
0.0,480,20,265348.0,3140.0,3140.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327552.0,100,24,198574,DENV_2-colombia-BVBRC_genome_sequence,1168.54,381.26,1549.79,64.92,21.18,86.1,86.1,18.0, sdumont6166,30995.8
0.0,504,21,265348.0,1040.0,1040.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327555.0,100,24,198574,DENV_2-colombia-BVBRC_genome_sequence,1161.06,379.81,1540.87,64.5,21.1,85.6,85.6,18.0, sdumont6166,32358.269999999997
3576.0,4272,178,2586888.0,150200.0,150200.0,2586888.0,1310.72,4618.24,1310.72,4618.24,1.0,0,22.0,22.0,1000bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327557.0,1000,24,198574,DENV_2-colombia-BVBRC_genome_sequence,20473.78,6508.38,26982.16,116.33,36.98,153.31,153.31,176.0, sdumont6166,4802824.4799999995
3576.0,4320,180,2587036.0,150280.0,150280.0,2587036.0,1310.72,4618.24,1310.72,4618.24,1.0,0,8.0,8.0,1000bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327563.0,1000,24,198574,DENV_2-colombia-BVBRC_genome_sequence,20529.0,6506.14,27035.14,115.33,36.55,151.88,151.88,178.0, sdumont6166,4866325.2
3573.0,4344,181,2586888.0,150112.0,150112.0,2586888.0,1310.72,4608.0,1310.72,4608.0,1.0,0,25.0,25.0,1000bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327566.0,1000,24,198574,DENV_2-colombia-BVBRC_genome_sequence,20568.8,6499.14,27067.94,114.91,36.31,151.22,151.22,179.0, sdumont6166,4899297.14
