AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
291.0,980,49,1649090.0,158072.0,153866.0,1655168.0,1853.44,4239.36,1853.44,4239.36,1.0,0,2.0,4.0,2n-1m-10th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531990.0,1,10,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9734.68,3647.05,13381.73,202.81,75.98,278.79,139.39,48.0, sdumont6166,655704.77
352.0,1128,47,1784146.0,156024.0,150834.0,1790288.0,1853.44,4239.36,1853.44,4239.36,1.0,0,7.0,8.0,2n-1m-12th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531992.0,1,12,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9440.97,3490.85,12931.82,205.24,75.89,281.13,140.56,46.0, sdumont6166,607795.54
353.0,1104,46,1784134.0,155808.0,150792.0,1790288.0,1853.44,4239.36,1853.44,4239.36,1.0,0,3.0,5.0,2n-1m-12th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531995.0,1,12,100,484520,DENV_1-brazil-BVBRC_genome_sequence,8990.74,3337.31,12328.04,199.79,74.16,273.96,136.98,45.0, sdumont6166,567089.8400000001
352.0,1104,46,1784204.0,155964.0,151890.0,1790428.0,1853.44,4239.36,1853.44,4239.36,1.0,0,2.0,2.0,2n-1m-12th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531997.0,1,12,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9302.08,3481.14,12783.21,206.71,77.36,284.07,142.04,45.0, sdumont6165,588027.6599999999
351.0,1128,47,1784140.0,162028.0,154946.0,1790288.0,1853.44,4239.36,1853.44,4239.36,1.0,0,3.0,5.0,2n-1m-12th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531999.0,1,12,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9499.72,3483.55,12983.27,206.52,75.73,282.25,141.12,46.0, sdumont6166,610213.6900000001
352.0,1104,46,1784138.0,157752.0,152846.0,1790284.0,1853.44,4239.36,1853.44,4239.36,1.0,0,2.0,3.0,2n-1m-12th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532001.0,1,12,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9028.59,3350.34,12378.93,200.64,74.45,275.09,137.54,45.0, sdumont6166,569430.78
2304.0,4696,1174,1234296.0,163152.0,155268.0,1364184.0,13035.52,4659.2,22589.44,4659.2,106246.0,0,376.0,377.0,2n-1m-2th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532003.0,1,2,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,151427.2,93311.03,244738.23,129.09,79.55,208.64,104.32,1173.0, sdumont6092,287322682.02000004
411.0,1288,46,1919290.0,156332.0,151962.0,1925352.0,1853.44,4239.36,1853.44,4239.36,1.0,0,5.0,5.0,2n-1m-14th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532004.0,1,14,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9117.64,3343.08,12460.72,202.61,74.29,276.9,138.45,45.0, sdumont6166,573193.12
2248.0,4660,1165,1236976.0,160860.0,155008.0,1363980.0,12738.56,4648.96,22046.72,4659.2,107290.0,0,0.0,0.0,2n-1m-2th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532006.0,1,2,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,151088.13,92915.56,244003.7,129.8,79.82,209.63,104.81,1164.0, sdumont6092,284264310.5
411.0,1260,45,1919206.0,158364.0,155062.0,1925352.0,1853.44,4239.36,1853.44,4239.36,1.0,0,10.0,13.0,2n-1m-14th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532007.0,1,14,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9045.43,3308.72,12354.15,205.58,75.2,280.78,140.39,44.0, sdumont6165,555936.75
