Num de Execuções;Nome do Executável
30;sibyll_14_17_086
30;run_matheus_108.sh
30;run_job_noisy.sh
30;pretrain_MaskedAutoEncoderViT_V0__B1_E0_lr0.001
30;npt4
30;minerva-dg-commands_training_domain_validation_erm_adam_lr-0.001
30;mdet_test
30;lig_4_production
30;e2co.index7.try1
30;e2co.index7.try0
30;amg
30;absorption
30;XAS
30;UiCa-M175k
30;M12_M0.30_train
30;M12_M0.25_train
30;M12_M0.20_train
30;M12_M0.15_train
30;M12_C0.9_M0.1_train
30;M1-2-M0.1_train
30;M1-2-C0.9_M0.1_train
30;E5_uprof
30;BC-1
30;Au-2N-hollow
30;Au-1N-bridge_poly
30;ACE2_8hru
29;water_revpbe_300
29;test500
29;submit_flexible.slurm
29;split2std_all
29;pure_ben
29;piriOH-H2O
29;gese
29;e2co.index6.try3
29;e2co.index6.try2
29;e2co.index6.try1
29;e2co.index6.try0
29;bifasico
29;augmentation_study_imagenet
29;amg_structured_rt1
29;SIGLEC-DNP
29;LMnO4-OVA
29;HPL-TIYA
29;GMX_Martini
29;FA2_cis
29;DMO-CD14
29;BT_TRS3
29;BS_run3
29;Al-3N-hollow
28;vasp
28;sibyll_14_17_104
28;run_iron.sh
28;rf_array
28;reweight
28;pCNDE96
28;p
28;npt_R1
28;minerva-dg-commands_training_domain_validation_vrex_adam_lr-0.001
28;job_ideal
28;hseS
28;gh43_r2_50_100
28;composito-lamela4
28;amg_rt2
28;af2_job
28;a7-l-vitmae
28;Xyr1
28;TR1_45
28;Rod
28;PostSUB2
28;PocoA_FPBA_1x
28;FAtrans3
28;FA_cisR3
28;FA_cisR2_append
28;FA3_cis
28;CuNaCl-conv
28;ComBasis
28;Co-P2
28;Al-2N-hollow
28;2x7-af
28;1e8a
28;1e-14core
27;vasp_gpu_hybrid
27;squared
27;snake_master
27;sibyll_402_17_113
27;sibyll_402_17_095
27;sibyll_402_17_085
27;sibyll_14_17_103
27;sibyll_14_17_097
27;sibyll_14_17_096
27;sibyll_14_17_085
27;sdumont2nd_run_matheus.sh
27;rspflapw.exe
27;qgsjet_402_17_115
27;qgsjet_402_17_114
27;qgsjet_402_17_113
27;qgsjet_402_17_112
27;qgsjet_402_17_111
27;qgsjet_402_17_110
27;qgsjet_402_17_109
27;qgsjet_402_17_108
27;qgsjet_402_17_107
27;qgsjet_402_17_106
27;qgsjet_402_17_105
27;qgsjet_402_17_104
27;qgsjet_402_17_103
27;qgsjet_402_17_102
27;qgsjet_402_17_101
27;qgsjet_402_17_100
27;qgsjet_402_17_099
27;qgsjet_402_17_098
27;qgsjet_402_17_097
27;qgsjet_402_17_096
27;qgsjet_402_17_095
27;qgsjet_402_17_094
27;qgsjet_402_17_093
27;qgsjet_402_17_092
27;qgsjet_402_17_091
27;qgsjet_402_17_090
27;qgsjet_402_17_089
27;qgsjet_402_17_088
27;qgsjet_402_17_087
27;qgsjet_402_17_086
27;qgsjet_402_17_085
27;qgsjet_402_17_084
27;qgsjet_402_17_083
27;qgsjet_402_17_082
27;qgsjet_402_17_081
27;qgsjet_402_17_080
27;pretraining
27;ni-scf
27;n-vitseg
27;mkdir
27;minerva-dg-commands_training_domain_validation_erm_adam_lr-0.001_20hz
27;medias_xmax
27;lig_3_production
27;fn-vitseg
27;exp3_hib_r2_socket
