AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
12.0,72,6,935962.0,135892.0,69510.0,1606572.0,593.92,2129.92,1187.84,4270.08,1.0,0,1.0,2.0,1n-2m-6th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529204.0,2,6,100,187026,DENV_1-colombia-BVBRC_genome_sequence,191.85,191.13,382.98,47.96,47.78,95.75,95.75,4.0, sdumont6167,2297.88
203.0,516,43,1169144.0,145028.0,142316.0,1386948.0,1382.4,4546.56,1720.32,4710.4,1.0,0,361.0,433.0,1n-2m-6th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529208.0,2,6,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3589.14,3487.03,7076.17,85.46,83.02,168.48,168.48,42.0, sdumont6208,304275.31
210.0,516,43,1169122.0,138780.0,138238.0,1386948.0,1208.32,4413.44,1280.0,4444.16,1.0,0,2.0,4.0,1n-2m-6th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529209.0,2,6,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3460.3,3360.89,6821.19,84.4,81.97,166.37,166.37,41.0, sdumont6208,293311.17
215.0,552,46,1169136.0,140772.0,138056.0,1386908.0,1382.4,4546.56,1720.32,4710.4,1.0,0,1.0,2.0,1n-2m-6th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529214.0,2,6,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3636.31,3551.5,7187.81,82.64,80.72,163.36,163.36,44.0, sdumont6208,330639.26
206.0,516,43,1276270.0,142480.0,139028.0,1601200.0,1382.4,4546.56,1699.84,4710.4,1.0,0,1.0,2.0,1n-2m-6th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529215.0,2,6,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3489.93,3386.37,6876.29,87.25,84.66,171.91,171.91,40.0, sdumont6208,295680.47
175.0,492,41,1169108.0,140680.0,139052.0,1386920.0,1382.4,4546.56,1699.84,4710.4,1.0,0,0.0,5.0,1n-2m-6th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529218.0,2,6,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3430.44,3323.05,6753.48,85.76,83.08,168.84,168.84,40.0, sdumont6208,276892.68
16.0,96,6,648066.0,90552.0,46864.0,1030780.0,573.44,2119.68,1136.64,4239.36,1.0,0,1.0,2.0,1n-2m-8th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529221.0,2,8,100,187026,DENV_1-colombia-BVBRC_genome_sequence,399.33,393.23,792.56,99.83,98.31,198.14,198.14,4.0, sdumont6208,4755.36
0.0,112,7,575480.0,8340.0,5778.0,885608.0,604.16,2129.92,1208.32,4270.08,1.0,0,0.0,0.0,1n-2m-8th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529224.0,2,8,100,187026,DENV_1-colombia-BVBRC_genome_sequence,282.15,296.85,579.0,47.03,49.48,96.5,96.5,6.0, sdumont6256,4053.0
16.0,112,7,889392.0,136588.0,69970.0,1513432.0,614.4,2129.92,1228.8,4270.08,1.0,0,152.0,305.0,1n-2m-8th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529227.0,2,8,100,187026,DENV_1-colombia-BVBRC_genome_sequence,443.18,499.89,943.06,73.86,83.31,157.18,157.18,6.0, sdumont6168,6601.42
16.0,144,9,889376.0,134696.0,68998.0,1513400.0,614.4,2129.92,1228.8,4270.08,2.0,0,138.0,277.0,1n-2m-8th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529230.0,2,8,100,187026,DENV_1-colombia-BVBRC_genome_sequence,342.94,378.22,721.16,48.99,54.03,103.02,103.02,7.0, sdumont6165,6490.44
0.0,96,6,359482.0,5232.0,4254.0,453612.0,624.64,2129.92,1239.04,4270.08,1.0,0,0.0,0.0,1n-2m-8th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529233.0,2,8,100,187026,DENV_1-colombia-BVBRC_genome_sequence,375.45,403.66,779.11,93.86,100.91,194.78,194.78,4.0, sdumont6165,4674.66
276.0,672,42,1304254.0,138908.0,137288.0,1526320.0,1208.32,4413.44,1280.0,4444.16,1.0,0,2.0,3.0,1n-2m-8th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529236.0,2,8,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4145.66,4110.89,8256.55,103.64,102.77,206.41,206.41,40.0, sdumont6167,346775.1
274.0,672,42,1304266.0,140840.0,138322.0,1526196.0,1208.32,4413.44,1280.0,4444.16,1.0,0,1.0,1.0,1n-2m-8th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529238.0,2,8,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4168.41,4136.58,8304.99,104.21,103.41,207.62,207.62,40.0, sdumont6167,348809.58
225.0,864,54,1304258.0,140752.0,138204.0,1522104.0,1423.36,4536.32,1802.24,4710.4,1.0,0,161.0,341.0,1n-2m-8th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529247.0,2,8,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4896.92,4952.68,9849.6,94.17,95.24,189.42,189.42,52.0, sdumont6169,531878.4
